team_code,team_name,resolution_route,n_assignments,matches_used,agrees_with_wrangle_pipeline
43922,Argentina,roster,5,400021521;400021528;400021537;400021540;400021543,yes
43942,England,roster,5,400021512;400021531;400021539;400021540;400021542,yes
43946,France,roster,5,400021523;400021533;400021536;400021541;400021542,yes
43969,Spain,roster,5,400021519;400021529;400021538;400021541;400021543,yes
43872,Morocco,roster,3,400021522;400021530;400021536,yes
43935,Belgium,roster,3,400021525;400021534;400021538,yes
43961,Norway,roster,3,400021514;400021532;400021539,yes
43971,Switzerland,roster,3,400021527;400021535;400021537,yes
43855,Egypt,roster,2,400021515;400021528,yes
43899,Canada,roster,2,400021518;400021530,yes
43911,Mexico,roster,2,400021520;400021531,yes
43921,USA,roster,2,400021524;400021534,yes
43924,Brazil,roster,2,400021516;400021532,yes
43926,Colombia,roster,2,400021517;400021535,yes
43928,Paraguay,roster,2,400021513;400021533,yes
43963,Portugal,roster,2,400021526;400021529,yes
20014,Congo DR,roster,1,400021512,yes
43819,Japan,roster,1,400021516,yes
43843,Algeria,roster,1,400021527,yes
43850,Cabo Verde,roster,1,400021521,yes
43854,Côte d'Ivoire,roster,1,400021514,yes
43860,Ghana,roster,1,400021517,yes
43879,Senegal,roster,1,400021525,yes
43883,South Africa,roster,1,400021518,yes
43927,Ecuador,roster,1,400021520,yes
43934,Austria,roster,1,400021519,yes
43938,Croatia,roster,1,400021526,yes
43948,Germany,roster,1,400021513,yes
43960,Netherlands,roster,1,400021522,yes
43970,Sweden,roster,1,400021523,yes
43976,Australia,roster,1,400021515,yes
44037,Bosnia and Herzegovina,roster,1,400021524,yes
